,year,location,total_house,total_house_male,total_house_female,total_people,total_people_male,total_people_female,total_people_below12,total_people_below12_male,total_people_below12_female,total_people_between12_17,total_people_between12_17_male,total_people_between12_17_female,total_people_between18_64,total_people_between18_64_male,total_people_between18_64_female,total_people_over65,total_people_over65_male,total_people_over65_female
62,2015,花蓮縣,1537.0,931.0,606.0,3897.0,2131.0,1766.0,1043.0,573.0,470.0,859.0,451.0,408.0,1881.0,1039.0,842.0,114.0,68.0,46.0
63,2015,澎湖縣,549.0,399.0,150.0,1760.0,885.0,875.0,332.0,184.0,148.0,346.0,188.0,158.0,1069.0,505.0,564.0,13.0,8.0,5.0
64,2015,基隆市,1369.0,712.0,657.0,4591.0,2159.0,2432.0,805.0,389.0,416.0,707.0,353.0,354.0,2894.0,1324.0,1570.0,185.0,93.0,92.0
65,2015,新竹市,803.0,406.0,397.0,2446.0,1157.0,1289.0,541.0,292.0,249.0,427.0,212.0,215.0,1452.0,640.0,812.0,26.0,13.0,13.0
66,2015,嘉義市,1385.0,823.0,562.0,4234.0,2057.0,2177.0,826.0,433.0,393.0,877.0,432.0,445.0,2498.0,1175.0,1323.0,33.0,17.0,16.0
67,2015,金門縣,107.0,50.0,57.0,298.0,129.0,169.0,66.0,34.0,32.0,54.0,26.0,28.0,169.0,62.0,107.0,9.0,7.0,2.0
68,2015,連江縣,34.0,26.0,8.0,106.0,55.0,51.0,19.0,9.0,10.0,18.0,8.0,10.0,66.0,36.0,30.0,3.0,2.0,1.0
69,2014,全國,114522.0,69388.0,45134.0,349130.0,174099.0,175031.0,78762.0,40724.0,38038.0,61906.0,31456.0,30450.0,203931.0,99243.0,104688.0,4531.0,2676.0,1855.0
70,2014,新北市,11019.0,6021.0,4998.0,31433.0,15115.0,16318.0,6316.0,3310.0,3006.0,4999.0,2532.0,2467.0,19538.0,8931.0,10607.0,580.0,342.0,238.0
71,2014,臺北市,4797.0,2618.0,2179.0,12593.0,6058.0,6535.0,2182.0,1145.0,1037.0,1350.0,719.0,631.0,8534.0,3921.0,4613.0,527.0,273.0,254.0
72,2014,臺中市,12072.0,6425.0,5647.0,35792.0,17212.0,18580.0,7912.0,4019.0,3893.0,5724.0,2925.0,2799.0,21533.0,9903.0,11630.0,623.0,365.0,258.0
73,2014,臺南市,10007.0,6324.0,3683.0,32418.0,16141.0,16277.0,6558.0,3409.0,3149.0,5939.0,3016.0,2923.0,19624.0,9540.0,10084.0,297.0,176.0,121.0
74,2014,高雄市,24801.0,15323.0,9478.0,75960.0,37290.0,38670.0,16065.0,8333.0,7732.0,12568.0,6428.0,6140.0,46533.0,22077.0,24456.0,794.0,452.0,342.0
75,2014,宜蘭縣,2170.0,1273.0,897.0,5791.0,2776.0,3015.0,1265.0,650.0,615.0,1107.0,570.0,537.0,3349.0,1512.0,1837.0,70.0,44.0,26.0
76,2014,桃園縣,2081.0,1127.0,954.0,6529.0,3140.0,3389.0,1399.0,737.0,662.0,1439.0,690.0,749.0,3648.0,1683.0,1965.0,43.0,30.0,13.0
77,2014,新竹縣,936.0,532.0,404.0,3175.0,1550.0,1625.0,645.0,339.0,306.0,629.0,342.0,287.0,1844.0,834.0,1010.0,57.0,35.0,22.0
78,2014,苗栗縣,1372.0,786.0,586.0,4552.0,2249.0,2303.0,900.0,469.0,431.0,835.0,424.0,411.0,2699.0,1289.0,1410.0,118.0,67.0,51.0
79,2014,彰化縣,13018.0,8730.0,4288.0,43350.0,21733.0,21617.0,10850.0,5556.0,5294.0,7467.0,3737.0,3730.0,24661.0,12192.0,12469.0,372.0,248.0,124.0
80,2014,南投縣,5253.0,3142.0,2111.0,18411.0,9191.0,9220.0,4339.0,2210.0,2129.0,3539.0,1779.0,1760.0,10279.0,5055.0,5224.0,254.0,147.0,107.0
81,2014,雲林縣,2375.0,1594.0,781.0,6773.0,3420.0,3353.0,1451.0,713.0,738.0,1295.0,659.0,636.0,3927.0,1989.0,1938.0,100.0,59.0,41.0
82,2014,嘉義縣,3559.0,2529.0,1030.0,11460.0,6099.0,5361.0,3064.0,1567.0,1497.0,2625.0,1268.0,1357.0,5729.0,3231.0,2498.0,42.0,33.0,9.0
83,2014,屏東縣,13837.0,8766.0,5071.0,39044.0,21183.0,17861.0,11096.0,5777.0,5319.0,8377.0,4289.0,4088.0,19371.0,10984.0,8387.0,200.0,133.0,67.0
84,2014,臺東縣,1659.0,940.0,719.0,4911.0,2517.0,2394.0,1090.0,580.0,510.0,776.0,409.0,367.0,2936.0,1464.0,1472.0,109.0,64.0,45.0
85,2014,花蓮縣,1382.0,849.0,533.0,3501.0,1938.0,1563.0,923.0,517.0,406.0,762.0,414.0,348.0,1711.0,940.0,771.0,105.0,67.0,38.0
86,2014,澎湖縣,658.0,477.0,181.0,2152.0,1094.0,1058.0,457.0,247.0,210.0,400.0,215.0,185.0,1279.0,622.0,657.0,16.0,10.0,6.0
87,2014,基隆市,1315.0,685.0,630.0,4391.0,2093.0,2298.0,740.0,369.0,371.0,699.0,356.0,343.0,2793.0,1279.0,1514.0,159.0,89.0,70.0
88,2014,新竹市,708.0,359.0,349.0,2227.0,1050.0,1177.0,483.0,253.0,230.0,411.0,216.0,195.0,1309.0,566.0,743.0,24.0,15.0,9.0
89,2014,嘉義市,1346.0,809.0,537.0,4206.0,2038.0,2168.0,918.0,468.0,450.0,885.0,430.0,455.0,2373.0,1121.0,1252.0,30.0,19.0,11.0
90,2014,金門縣,122.0,52.0,70.0,346.0,152.0,194.0,86.0,45.0,41.0,57.0,26.0,31.0,196.0,76.0,120.0,7.0,5.0,2.0
91,2014,連江縣,35.0,27.0,8.0,115.0,60.0,55.0,23.0,11.0,12.0,23.0,12.0,11.0,65.0,34.0,31.0,4.0,3.0,1.0
92,2013,全國,108589.0,66065.0,42524.0,334391.0,166156.0,168235.0,81555.0,42023.0,39532.0,60341.0,30440.0,29901.0,188842.0,91544.0,97298.0,3653.0,2149.0,1504.0
93,2013,新北市,10434.0,5709.0,4725.0,30121.0,14409.0,15712.0,6495.0,3423.0,3072.0,4770.0,2427.0,2343.0,18391.0,8280.0,10111.0,465.0,279.0,186.0
94,2013,臺北市,4149.0,2150.0,1999.0,11041.0,5257.0,5784.0,2184.0,1162.0,1022.0,1195.0,610.0,585.0,7268.0,3278.0,3990.0,394.0,207.0,187.0
95,2013,臺中市,11226.0,5901.0,5325.0,33997.0,16264.0,17733.0,8067.0,4071.0,3996.0,5776.0,2945.0,2831.0,19673.0,8960.0,10713.0,481.0,288.0,193.0
96,2013,臺南市,10507.0,6592.0,3915.0,33247.0,16459.0,16788.0,7023.0,3602.0,3421.0,6292.0,3168.0,3124.0,19688.0,9546.0,10142.0,244.0,143.0,101.0
97,2013,高雄市,23525.0,14568.0,8957.0,72041.0,35105.0,36936.0,16766.0,8688.0,8078.0,12196.0,6149.0,6047.0,42484.0,19927.0,22557.0,595.0,341.0,254.0
98,2013,宜蘭縣,2025.0,1196.0,829.0,5531.0,2659.0,2872.0,1255.0,657.0,598.0,1041.0,508.0,533.0,3191.0,1466.0,1725.0,44.0,28.0,16.0
99,2013,桃園縣,2166.0,1195.0,971.0,6733.0,3271.0,3462.0,1573.0,836.0,737.0,1521.0,759.0,762.0,3604.0,1654.0,1950.0,35.0,22.0,13.0
100,2013,新竹縣,835.0,498.0,337.0,2907.0,1412.0,1495.0,617.0,314.0,303.0,575.0,323.0,252.0,1656.0,743.0,913.0,59.0,32.0,27.0
101,2013,苗栗縣,1393.0,832.0,561.0,4578.0,2281.0,2297.0,997.0,528.0,469.0,838.0,409.0,429.0,2638.0,1281.0,1357.0,105.0,63.0,42.0
102,2013,彰化縣,11263.0,7622.0,3641.0,38394.0,19096.0,19298.0,10350.0,5249.0,5101.0,6542.0,3221.0,3321.0,21212.0,10435.0,10777.0,290.0,191.0,99.0
103,2013,南投縣,4917.0,2928.0,1989.0,17431.0,8613.0,8818.0,4429.0,2207.0,2222.0,3328.0,1666.0,1662.0,9468.0,4626.0,4842.0,206.0,114.0,92.0
104,2013,雲林縣,2236.0,1667.0,569.0,7260.0,3820.0,3440.0,1804.0,946.0,858.0,1424.0,754.0,670.0,3952.0,2069.0,1883.0,80.0,51.0,29.0
105,2013,嘉義縣,3457.0,2463.0,994.0,11265.0,5979.0,5286.0,3368.0,1682.0,1686.0,2470.0,1202.0,1268.0,5392.0,3070.0,2322.0,35.0,25.0,10.0
106,2013,屏東縣,13305.0,8560.0,4745.0,38139.0,20715.0,17424.0,11562.0,5981.0,5581.0,8293.0,4223.0,4070.0,18111.0,10391.0,7720.0,173.0,120.0,53.0
107,2013,臺東縣,1627.0,935.0,692.0,4777.0,2470.0,2307.0,1147.0,652.0,495.0,752.0,386.0,366.0,2745.0,1363.0,1382.0,133.0,69.0,64.0
108,2013,花蓮縣,1438.0,870.0,568.0,3841.0,2038.0,1803.0,1078.0,560.0,518.0,875.0,435.0,440.0,1795.0,985.0,810.0,93.0,58.0,35.0
109,2013,澎湖縣,677.0,492.0,185.0,2239.0,1152.0,1087.0,531.0,291.0,240.0,400.0,199.0,201.0,1290.0,654.0,636.0,18.0,8.0,10.0
110,2013,基隆市,1296.0,704.0,592.0,4179.0,1980.0,2199.0,767.0,387.0,380.0,741.0,382.0,359.0,2527.0,1138.0,1389.0,144.0,73.0,71.0
111,2013,新竹市,647.0,331.0,316.0,2086.0,981.0,1105.0,423.0,223.0,200.0,386.0,207.0,179.0,1256.0,538.0,718.0,21.0,13.0,8.0
