,時間,縣市,一般及機車竊盜,汽車竊盜,贓物,賭博,重傷害,一般傷害,詐欺背信,妨害自由,故意殺人,過失致死,駕駛過失,妨害家庭及婚姻,妨害風化,強制性交,共同強制性交,對幼性交,性交猥褻,重大恐嚇取財,一般恐嚇取財,擄人勒贖,侵占,偽造文書印文,第一級毒品,第二級毒品,第三級毒品,第四級毒品,毀棄損壞,妨害公務,妨害電腦使用,強盜,搶奪,內亂,重利,竊佔,偽造有價證券,妨害秩序,違反藥事法,違反國家總動員法,違反森林法,違反著作權法,違反專利法,違反商標法,公共危險,侵害墳墓屍體,妨害名譽,違反就業服務法,違反選罷法,妨害秘密,遺棄,違反貪污治罪條例,瀆職,懲治走私條例,妨害兵役,偽造貨幣,偽造度量衡,偽證,誣告,湮滅證據,藏匿頂替,脫逃,違反槍砲彈藥刀械管制條例,其他_x,其他_y,總計
67,94年 2月,臺北市,1462,145,4,13,1,58,101,10,3,2,55,2,24,12,0,1,5,0,12,0,21,19,161,186,2,1,11,2,2,10,9,0,2,5,0,0,0,0,0,22,0,9,515,0,5,0,0,1,0,0,0,0,2,2,0,0,11,0,0,0,23,16,92,3039
68,94年 3月,臺北市,1895,253,10,16,0,94,181,18,6,5,70,8,92,9,1,1,6,0,11,1,33,26,142,166,2,0,17,2,3,15,14,0,1,18,1,0,0,0,0,23,0,8,451,0,7,0,0,0,0,0,1,0,3,0,0,0,5,0,0,0,27,8,138,3788
69,94年 4月,臺北市,1703,311,7,16,0,67,201,24,4,1,75,6,68,15,0,0,7,0,4,0,31,27,161,191,1,0,18,8,5,23,5,0,2,3,0,0,0,0,0,30,0,7,569,0,8,0,0,0,0,0,0,0,4,1,0,0,12,0,0,0,23,21,141,3800
70,94年 5月,臺北市,1735,292,13,11,1,77,442,17,5,1,92,8,57,11,1,3,6,0,8,4,30,46,153,198,1,0,12,0,5,19,8,0,6,11,1,0,0,0,0,36,0,21,471,0,11,0,0,0,2,0,0,0,0,1,0,0,6,0,1,0,35,10,137,4005
71,94年 6月,臺北市,1863,210,8,6,0,91,469,27,4,2,90,5,46,16,0,1,6,0,36,1,38,42,203,213,0,0,26,8,3,14,15,0,15,14,1,0,1,0,0,38,0,18,601,0,17,1,0,3,3,0,1,0,0,2,0,0,11,0,0,0,33,2,109,4313
72,94年 7月,臺北市,1870,204,6,14,0,115,310,32,3,3,117,6,57,25,0,3,10,0,6,0,42,51,223,282,0,0,17,3,1,5,13,0,3,11,0,2,1,0,0,50,0,15,607,0,17,0,0,1,3,0,1,0,1,1,0,0,15,0,0,0,32,3,159,4340
73,94年 8月,臺北市,2010,150,10,17,0,127,750,28,9,2,113,9,79,16,2,3,13,1,23,1,62,67,179,298,2,0,25,10,3,13,9,0,10,10,1,0,2,0,0,25,0,19,610,0,27,0,0,2,2,0,0,0,1,1,0,0,15,0,3,0,28,1,233,5021
74,94年 9月,臺北市,1538,165,8,11,0,106,233,22,7,3,116,11,38,16,0,1,9,0,9,1,42,52,211,210,3,0,20,7,5,12,31,0,6,6,0,0,0,0,0,16,0,19,570,0,12,0,0,1,2,0,0,0,1,4,0,0,15,0,0,0,30,1,185,3755
75,94年 10月,臺北市,1496,199,9,10,0,113,239,28,6,4,134,5,47,12,1,0,12,0,30,0,47,56,249,190,6,0,14,5,3,15,8,0,1,6,0,1,0,0,0,27,0,11,662,0,19,1,0,2,2,0,0,0,4,6,0,0,12,0,0,0,31,0,162,3885
76,94年 11月,臺北市,1800,153,5,18,0,135,223,35,3,2,130,6,37,19,0,2,14,2,95,1,50,53,217,195,3,0,15,5,2,19,22,0,8,5,6,1,0,0,0,35,0,20,625,0,23,0,0,0,2,0,0,0,4,7,0,0,9,0,0,0,31,0,164,4201
77,94年 12月,臺北市,1452,153,11,14,0,106,232,21,7,2,127,2,34,15,0,2,8,1,82,1,41,46,197,139,0,0,15,1,4,13,6,0,3,10,1,0,1,0,0,40,0,15,472,0,16,0,0,3,3,0,0,0,3,3,0,1,15,0,1,0,20,0,127,3466
79,95年 1月,臺北市,1750,152,20,16,0,123,501,32,7,4,95,10,31,15,0,1,5,1,24,0,50,39,320,188,7,0,13,6,4,14,15,0,2,12,0,0,3,0,0,36,0,14,631,0,20,1,0,2,1,0,0,0,9,6,0,0,12,0,0,0,43,0,122,4357
80,95年 2月,臺北市,1607,159,7,51,1,116,264,30,7,3,110,11,36,10,1,3,1,0,12,0,41,38,195,143,5,0,19,6,4,26,15,0,23,6,2,0,0,0,0,35,0,7,659,0,19,2,0,0,0,1,1,0,6,3,0,0,12,0,0,0,26,6,123,3852
81,95年 3月,臺北市,1362,183,12,37,0,135,288,27,7,3,120,6,69,12,0,0,3,2,7,0,44,51,153,154,9,0,28,12,7,20,41,0,6,14,1,0,0,0,0,23,0,7,589,0,22,2,0,3,1,0,1,0,2,3,0,0,13,0,1,0,18,1,153,3652
82,95年 4月,臺北市,1522,158,7,28,0,109,268,31,2,2,113,11,59,12,0,1,3,0,16,0,41,48,195,181,4,0,13,11,5,13,21,0,5,6,3,0,0,0,0,30,0,4,633,0,22,0,0,4,0,0,0,0,0,3,0,1,13,0,1,0,31,2,158,3790
83,95年 5月,臺北市,1628,183,16,17,2,117,288,31,7,3,127,5,60,14,3,0,3,0,17,0,45,51,216,191,6,0,18,6,4,9,9,0,12,8,1,0,2,0,0,34,0,19,669,0,33,0,0,6,4,3,0,0,0,4,0,0,15,0,1,0,38,0,160,4085
84,95年 6月,臺北市,1462,133,15,12,0,86,491,33,5,0,114,7,44,18,1,0,14,0,40,0,46,38,189,174,6,0,21,8,10,12,14,0,14,8,2,0,0,0,0,30,0,14,563,0,22,0,0,1,5,0,0,0,0,2,0,0,9,0,0,0,24,0,152,3839
85,95年 7月,臺北市,1569,150,20,20,0,115,266,38,8,2,121,4,64,16,2,1,3,0,26,2,46,50,186,158,2,0,20,11,11,13,12,0,17,6,1,0,0,0,0,35,0,15,647,0,22,0,0,3,0,0,1,0,0,3,0,0,16,0,0,0,27,0,175,3904
86,95年 8月,臺北市,1701,118,11,21,0,113,395,30,5,2,99,5,49,18,1,0,3,0,40,0,44,44,249,211,12,0,20,5,8,5,7,0,15,6,3,1,0,0,0,23,0,16,779,0,34,0,0,4,2,0,0,0,2,2,0,0,18,0,0,0,28,1,184,4334
87,95年 9月,臺北市,1392,101,21,16,0,119,444,36,9,3,125,0,61,15,0,3,6,0,20,2,54,39,212,182,7,0,23,9,5,11,12,0,14,8,0,0,0,0,0,14,0,12,850,0,17,0,0,5,0,0,0,0,2,3,0,0,19,0,0,0,28,0,128,4027
88,95年 10月,臺北市,1327,118,11,12,0,135,264,26,4,3,127,6,44,23,1,2,7,0,58,2,48,53,197,157,8,0,19,12,11,9,25,0,2,9,2,0,1,0,0,23,0,18,886,0,27,0,0,0,2,0,0,0,1,0,0,0,16,0,0,0,14,0,152,3862
89,95年 11月,臺北市,1484,96,15,9,0,127,236,30,3,1,103,4,49,9,0,2,9,0,50,1,53,43,208,193,6,0,34,6,8,6,22,0,12,6,1,1,0,0,1,32,0,23,704,0,28,2,1,1,1,0,0,0,5,1,0,0,14,0,1,0,24,0,168,3833
90,95年 12月,臺北市,1265,86,21,13,0,129,225,23,6,1,122,6,36,18,3,1,7,0,19,0,64,67,219,223,5,0,22,6,4,5,10,0,15,8,2,0,1,0,0,28,0,20,643,0,30,0,6,3,1,0,0,1,3,2,0,0,13,0,0,0,20,0,142,3544
92,96年 1月,臺北市,1194,100,12,26,0,151,252,27,4,1,145,6,47,13,0,4,6,1,82,0,56,36,199,187,7,0,20,9,17,6,16,0,8,12,1,0,0,0,0,29,0,15,637,0,35,0,6,2,1,0,0,0,2,3,0,0,11,1,0,0,16,0,195,3598
